"번호","영상 ID","채널","영상 제목"
"1","x_tKMHclPXk","먹쇠TV 요리하는셰프","💘 누룽지  이렇게 한번 끓여 보세요.누룽지요리,누룽지탕 김치,누룽지탕 만들기,김치 죽,누룽지탕 먹방,누룽지 끓이는 방법,해장국,누룽지탕 레시피,,누룽지탕 만드는법,해물누룽지탕"
"2","h2NpoOPtUcQ","라비키친Rabikitchen","백종원 전복죽 만들기, 맛있게 끓이는방법"
"3","VXOq5L8-m_w","집나간아들 Runaway Son","간장계란밥 10배 더 맛있게 먹는 방법, 더 이상 밥에 간장을 뿌리지마세요!"
"4","9w3GJY8N2L4","김진옥요리가좋다","계란말이(달걀말이) 쉽게 만드는법~어렵지 않아요!(김진옥요리가좋다)#계란말이#달걀말이#김진옥요리가좋다"
"5","OYj15IxqKJM","엄마의손맛","미역국 힘들게 하지마세요✔️ 이 방법은 맛있는 소고기미역국 만들기 1등 레시피입니다"
"6","B0xC_54i6wI","후다닥요리","사골국물처럼 뽀얀 황태해장국 맛있게 끓이는 법, 북어국 레시피"
"7","JKHIxEuAFFs","요리왕비룡 셰프TV ","명절 4인 가족 떡국, 사골 사지 마세요. '가루' 하나로 끝납니다"
"8","XPVPaa9YTNk","강쉪","정말 쉽고 간단한 토스트 7가지맛~ 꿀팁!! [강쉪]korea food recipe, Really easy, 7 taste of simple toast."
"9","BS2yS1FcUnM","Leplat  르쁠라","프렌치 토스트 이렇게 만들면 카페 안 가요 (겉바속촉 레시피)"
"10","ssDJIFKuGOY","소소식탁","호텔 조식보다 맛있는 팬케이크 만들기. 핫케이크 믹스 없이 간단한 재료로 팬케이크 반죽 만들기. pancake"
"11","5mYkyIJ1Nq0","상어이모","#오믈렛 만들기/계란오믈렛/계란오믈렛 쉽게 만들기 /요즘핫한오믈렛[상어이모.SANGEOIMO]"
"12","4A8Hg6hE75A","만개의레시피 10K Recipe","완벽한 주말브런치메뉴 🍽 홀랜다이즈소스와 수란을 얹은 에그베네딕트 [만개의레시피]"
"13","h973MzXognc","야밤에레시피 / MIDNIGHT RECIPE","연어 크림치즈 베이글 만들기 /  Salmon Cream Cheese Bagel"
"14","3yjJYqK713Q","Felli's Cafe602","[Eng] Croissant sandwich recipe / 쉬운데 폼나는 크루아상 샌드위치 만들기 /  도시락, 케이터링에도 좋아요."
"15","mxWY4l41pHs","Olive","[#골라보는] 호텔에서 먹는 스크램블 에그 & 오믈렛💛 부드러움을 최대한 끌어올린 계란요리 레시피 | #집밥백선생 #Diggle"
"16","C9rgoAVa-cE","에그맨 Egg Man","시리얼 그냥 드시지 말고 이렇게 드셔보세요"
"17","S3QkHByWzzM","라미 ramizua","[라미레시피] 🥣 오트밀 레시피 3가지 (2탄) • 오트밀 맛있게 먹는 법"
"18","AsNNYx4O2Cw","김상궁의 수랏간","그릭 요거트 볼(Greek yogurt ball) 만들기"
"19","62j2ZdaZklo","백년밥상TV","계란 삶는 법 시간 6분 촉촉한 노른자 8분 반숙 10분 완숙 끝! 소금+베이킹소다로 쉽게 까는 법"
"20","1O0o_T_idxI","집밥 세레나네","에어프라이어로 군고구마 굽기! 이렇게 해야 맛있어요. 꿀팁 대공개!"
"21","hXbIXiw10g0","엄마의손맛","참치 힘들게 먹지마세요✔️ 이 방법은 맛있는 참치마요 주먹밥 만들기 1등 레시피입니다"
"22","DnQ09ZZCjCs","백종원 PAIK JONG WON","초간단 김치찌개 ㅣ 백종원의 백종원 레시피"
"23","W-pxmbzqeyo","햇림","백종원 무된장찌개 기대 이상 맛있네요ㅣ맛남의광장 된장찌개만들기ㅣ돼지고기된장찌개ㅣ된장찌개맛있게끓이는법ㅣSoybean Paste Stew"
"24","vDBfXcNLoH4","미블리쿠킹Mively Cooking","백종원 제육볶음 황금레시피 / 맛보장! 매콤달콤 맛난 제육볶음 / 백파더 ""제육볶음"""
"25","KJAHpWjbB2k","엄마의손맛","비빔밥 10배 맛있게 만드는법🥇 이런 레시피 또 없습니다!"
"26","buHBCitrkqM","철이네밥상 Cheol`s Dining","집에서 푸짐한 순대국 만들기"
"27","hnmIZ650dLQ","김진옥요리가좋다","집에서 진한 갈비탕 만드는방법#갈비탕끓이는방법#김진옥요리가좋다#갈비탕레시피#갈비탕"
"28","RPQVZz8Dlso","세라의TheSpoon","물냉면﻿ 만들기 시판 냉면육수로 쉽게! 점심메뉴 추천"
"29","jfo-K3LTj00","요리무사","초복 보양식 삼계탕 집에서 맛있게 끓이는 비법"
"30","G2Ju8DTwJu4","happycooking120180","뚝배기 불고기 만들기"
"31","S58ablCe1GU","국수언니","백종원 부대찌개 만들기 레시피 부대찌개 재료 양념장"
"32","jW_9cJd0Cfo","엄마의가정식","춘천 닭갈비 맛있게 만드는 황금레시피"
"33","7H5gyhRG1bg","소소황 Cook & Eat","속풀리는 콩나물 국밥 맛있게 끓이는 법_ 뜨끈한 국밥 든든하게"
"34","LleHWtkyQ-w","EBSCulture (EBS 교양)","중화요리의 대가의 짜장면 레시피! 이제는 어렵게 만들지 마세요. 실패할 수 없는 짜장면 간단 레시피!│여경옥 쉐프의 짜장 레시피│최고의 요리비결│알고e즘"
"35","vxWvIb55FjM","쿡잇파파 C.E.P.P","집에서 만든 기적의 짬뽕!! 중국집 짬뽕국물 그맛 쉽게쉽게 하세요"
"36","KJP5flTPik4","끼니해결사! 집밥 문제 해결해주는 식당사장","중식 대가에게 배워온 초간단 중국집 볶음밥 만들기 | 계란볶음밥 만들기"
"37","e9jHy8AJ4yc","이연복의 복주머니","[이연복] 목란 레시피 그대로! 탕수육 최초공개 | 탕수육 소스 만들기!"
"38","BqxpjY7TJ8g","백종원 PAIK JONG WON","정말 쉽게 만드는 마파두부!! ㅣ 백종원의 쿠킹로그"
"39","AdhNFTiDLpk","여가네 / 여경래, 박은영 셰프님","박은영 셰프의 세상 쉬운 “잡채밥”"
"40","hnA22MwpiRc","Jessie 졔씨","Cook_집에서 초간단 마라탕 만들기 레시피(시판소스만 있으면 OK,냉장고를 부탁해)"
"41","f9m5Zr33CWI","요리꽃피네 Cooking Blooms","입안에서 살살 녹는 회초밥만들기ㅣ배합초 만들기ㅣ초간단 초밥만들기ㅣhow to make sushi"
"42","oAb2SbY35KU","뚝딱Tooktak","바삭바삭 돈가스 만들기 & 돈가스 소스 만들기 ( 돈까스 /돈카 )"
"43","1fy2M0Tb5cA","라멘로그 I 라멘 맛집 추천 레시피","[라멘 만들기] 시판 육수로 쇼유라멘 만들기(feat.완탕토핑 만들기)"
"44","6av02zciWZo","오늘도 밥 : Today's Meal","간단요리 | 자취요리 | 1인분 가쓰오 우동 - 일식 집에서 먹던 그 맛 그대로, 집에서도 간단하게 만드는 우동 한 그릇 !"
"45","zXpznElExPI","정호영의 오늘도 요리 Kitchen Caden","소고기는 맛있소 6편, 소고기 덮밥 규동 [Gyudong] | 정호영의 오늘도 요리"
"46","KZJ-fH3Khr4","엄마의요리랜드","초간단 집에서 회덮밥 만들기 / 초장 만드는 방법"
